Could you please approve this project for {{Date}}?,0,,0.494628216
"Hey, I just got your msg from Friday.  I left at around {{Time}}. How was your weekend?  Did you make it to {{Day}}? Talk to you later.",0,,0.766791944
Can you give more details or email the plan prior to meeting? What do i need to provide besides that? Anyways any afternoon next week would be fine!,0,,0.870471757
"Hi {{Name}}, Just a quick follow up here about the NDA template as our team is very eager to take a look at what you have shown us on the intro call. They want to meet and greet to learn more about your expectations and dive deeper into the details. One you share the NDA with us, I will have it executed Via DocuSign right away. Thanks ",1,,0.2528137
"Hi,
You are really are patient ??
So what you could offer us?",1,,0.872850477
Have you received any money for your project?,0,,0.086990457
I'd like to set up a time to discuss how Punch can help {{Company}}'s in {{Program}}. Can we discuss it later this afternoon?,1,,0.156577088
we were thinking to schedule a call @ {{Time}},0,,0.694990636
"Are you available to attend this meeting today to discuss the going-forward plan for transmission agreements in the project.  
",0,,0.832095593
"Hey {{Name}}, I was goinh through my inbox and though it would be a good time for friendly check-in. How is the funding round shaping up for you? I understand the stress that comes with raising funds for a start-up, so I hope things go as planned. Punch would be happy to add value to your company and propel it towards further growth. Cheers, {{Sender_Name}}",1,,0.571177481
The address is still good. I don't know why the mailing would be returned,0,,0.956625251
"I updated my site, added some new pics and such. If you're bored check it out.",0,,0.414861178
"Let me know by today, please.",0,,0.968140442
"It has been quite a while since we communicated and discussed your company's goals and mission, I’ve noticed that {{Company}} is looking for {{Job Post}}  and thought of checking back in with you and enlightening you with the awesome work we do as a digital and creative agency. ",1,,0.221016418
"Hi Kalyna, My apologies for taking longer than expected to get back to you but there were a few thorough details our team had to go through. Please find below the link for the proposal.
{{Link}}
 
Happy to jump on a quick call to answer any questions. Afternoons work best for us.
 
For the email marketing campaigns, our original proposal was only revolving around LeadGen but we can surely offer you more for less as the referrals are our key interest here. We are right working on scaling our technology right now and are only a few weeks away. Please read about it here: 
{{Link}} (draft version)
 
Feel free to share any thoughts.
 
Thanks,
 
Sherry
",1,,0.257027793
I would probably be willing to pay only {{Number}} for the services he's offering,0,,0.688839452
"About Punch: 

We're an ex-Google, Silicon Valley team of engineers, designers, and growth marketers. I wanted to reach out to you about trying a 30-day pilot with our team and how {{Company}} can benefit from our engineering, design, and growth marketing expertise.

{{Add About punch case studies}}",1,,0.680547225
We have a proven method that works and would love to setup a time this week to discuss a test with {{Company}},1,,0.501420686
"Hi Iâ€™d love to setup a call to discuss this further, please let me know your availabilities",1,,0.468904143
"We're an E-Commerce UI/UX expert team that specializes in reducing cart abandonment and increasing average order size per customer. Our UI/UX efforts focus on the analysis of cart shopping behavior and A-B test various cart mechanisms to improve overall cart performance.
 
{{Add Twice Image}}",1,,0.071428259
"Hey Verdi,
I never heard back from you or your team regarding the marketing platform for recruiting & Originating. Do you have time for late this afternoon?",1,,0.554202455
"HI Ehsan,
Thanks for reaching out. Iâ€™m a little unclear of what product you are offering. Consulting on branding/marketing?",1,,0.700399433
Hear is the info. Let me know if you have any further questions.,0,,0.735085295
"Thanks for thinking of us. Looping in {{Name}}, who can set up a meeting and gather more requirements from our Designers who does this. Time zone work hours won't be an issue for us.  ",1,,0.252263948
"Hi {{Name}}, Happy {{Day}}. I hope you are well and keeping up with all the plans in execution at {{Company_Name}}. I read today about the {{Recent Events in the company}}. How are things unfolding for you and the team at {{Department}}? Do you have any updates for me? I will  mark the dates for the next steps accordingly. ",1,,0.810925873
"Hi Daniel, Sure. I'll get in touch with you in the mid of the year. However, I'm attaching our services document for your review in the meantime.
 
Looking forward to working with you,
Hassan
",1,,0.660605741
Let's hop on a call to discuss your growth strategy and create a cost efficient plan that matches your criteria.,1,,0.048871842
"I was reaching out to see if things are back on track on your side, we have brilliant ideas that can help {{Company}} in many ways, I’m sharing this before and after image of our work, we believe in results more than words. ",1,,0.453337205
It'll help tons if you can share as many references and examples as possible. ,1,,0.313254268
"Hi Patrick,

 Hope all is well.

We have a potential prospect that would like to speak to current and former clients about the  Web development work we’ve done. Do you mind if we share your contact info?

Thanks,
Sherry

—-----------------------


Hi Sherry.

I can make ten minutes next Monday all day or Tuesday am, but then am flying out and then on production.

I can try to make an appointment but Will may be better as a referral based on having more availability.

We both love y’all. Up to you sir, just wanted to be upfront my schedule is very jammed

—------------------------
Sherry,
 
I'd welcome the chance to say complimentary things about you.
 
Will
—----------------------

Hey Guys,
 
Thank you so much for such an overwhelming response. It means a lot coming from you.
 
They are based in AUS and I don't intend to put you on the call with them. I will only share your email address with them and you can expect an email inquiry about us.
 
Have a great weekend ahead.
 
Sherry
",1,,0.363207213
"Hi Guys, Just a quick request. We have a potential prospect from Australia that would like to speak to current and former clients about the Web development work we’ve done. Do you mind if we share your contact info?
 
Thanks,
 
Sherry",1,,0.891616651
This will be the schedule for the interviews being held next week. If you have any questions please let me know.,0,,0.79217416
"
Hey Manuel,
Ehsan - Client Success Specialist at Punch here.
Got connected over email regarding your B2B Growth needs. 
Our team shared a proposal with you and reached out for feedback. 
It seems we reached a stalemate afterward.
At Punch, we strongly prioritize relationship-building— Which is why we are willing to revise our proposal once again following input from your side. 
We can also identify any other areas to work together for mutual benefit. You can book a meeting here. 
Cheers,",1,,0.095635345
"We've updated the Merger {{Company}} on our {{Website}} ( <http://home.enron.com/updates/mergerQA.html>), as a result of the many questions you've had concerning the merger between the two companies",0,,0.256351984
"Fri afternoon works for meâ€¦
Hi Jude,
It's very unfortunate on my end to have missed your email, it somehow ended up in my spam.
Can we target something for this week?
Cheers,",1,,0.144715058
I really like the services ,0,,0.996388481
"Hey {{Name}}, Thanks for the reply, and i'd be happy to tell you more about Punch. I've included my availabilty for Monday for a time to chat below. Pleasea check the time that works best for you. In the meantime, would you mind telling me more about the kind of projects you could use some help with? Since Punch is a full service agency, a bit more detail will help me best prepared for our call. Looking forward to speaking with you!",1,,0.48722406
So maybe we can meet in the middle.,0,,0.985634149
